day_of_week,rides,weekend,mean_for_weekday,tmed,prec,velmedia,tmax,tmin
Sat,8232,weekend,9161.0,27.3,0.0,1.1,"33,6","21,0"
Sun,8164,weekend,9269.25,27.5,1.2,1.7,"34,8","20,2"
Mon,12472,weekday,13218.5,26.8,0.0,1.7,"31,3","22,3"
Tue,13738,weekday,14296.5,24.4,0.0,1.4,"29,5","19,4"
Wed,13959,weekday,14556.0,23.0,0.0,2.8,"27,8","18,3"
Thu,14197,weekday,14939.75,22.6,0.0,0.6,"27,4","17,8"
Fri,12456,weekday,10908.25,22.2,5.1,2.2,"28,5","16,0"
Sat,7680,weekend,9161.0,20.2,1.8,1.7,"23,6","16,9"
Sun,9035,weekend,9269.25,21.0,0.0,0.8,"26,3","15,8"
Mon,13466,weekday,13218.5,22.8,0.0,1.9,"28,3","17,3"
Tue,14531,weekday,14296.5,23.0,0.0,1.9,"28,5","17,6"
Wed,14981,weekday,14556.0,23.2,0.0,0.6,"29,0","17,3"
Thu,15196,weekday,14939.75,25.4,0.0,0.8,"32,2","18,6"
Fri,14583,weekday,10908.25,25.5,0.0,1.4,"31,6","19,4"
Sat,10212,weekend,9161.0,25.1,0.0,0.8,"30,0","20,2"
Sun,9798,weekend,9269.25,24.1,0.0,0.6,"30,2","18,0"
Mon,13347,weekday,13218.5,24.7,1.2,1.9,"30,8","18,6"
Tue,14258,weekday,14296.5,23.4,0.0,1.4,"28,5","18,2"
Wed,15173,weekday,14556.0,24.2,0.0,0.8,"30,4","18,0"
Thu,15429,weekday,14939.75,25.7,0.0,1.1,"31,5","19,9"
Fri,14540,weekday,10908.25,25.1,0.0,1.4,"31,3","18,9"
Sat,10520,weekend,9161.0,26.2,0.0,1.7,"32,5","20,0"
Sun,10080,weekend,9269.25,27.2,0.0,1.4,"33,5","20,8"
Mon,13589,weekday,13218.5,26.0,0.0,1.9,"32,0","20,0"
Tue,14659,weekday,14296.5,23.2,0.0,2.2,"29,3","17,2"
Wed,14111,weekday,14556.0,22.5,0.5,2.2,"26,0","19,0"
Thu,14937,weekday,14939.75,21.0,0.0,0.3,"26,4","15,7"
Fri,2054,weekday,10908.25,21.9,0.0,1.4,"27,8","16,0"
