day_of_week,hour,rides,weekend,mean_for_weekday_and_hour,tmax,tmin,rain,wind,temp
Sat,1,456,weekend,470.0,"33,6","21,0",0.0,1.1,"21,0"
Sat,2,342,weekend,396.5,"33,6","21,0",0.0,1.1,"21,0"
Sat,3,275,weekend,293.25,"33,6","21,0",0.0,1.1,"21,0"
Sat,4,183,weekend,190.25,"33,6","21,0",0.0,1.1,"21,0"
Sat,5,137,weekend,151.75,"33,6","21,0",0.0,1.1,"21,0"
Sat,6,116,weekend,121.0,"33,6","21,0",0.0,1.1,"21,0"
Sat,7,89,weekend,80.75,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,8,130,weekend,132.5,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,9,213,weekend,232.5,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,10,255,weekend,303.25,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,11,362,weekend,393.5,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,12,451,weekend,404.25,"33,6","21,0",0.0,1.1,"33,6"
Sat,13,450,weekend,456.25,"33,6","21,0",0.0,1.1,"33,6"
Sat,14,424,weekend,495.5,"33,6","21,0",0.0,1.1,"33,6"
Sat,15,339,weekend,391.75,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,16,427,weekend,470.0,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,17,456,weekend,503.0,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,18,437,weekend,513.5,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,19,617,weekend,655.0,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,20,648,weekend,699.75,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,21,559,weekend,564.75,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,22,459,weekend,449.0,"33,6","21,0",0.0,1.1,27.299999237060547
Sat,23,407,weekend,406.75,"33,6","21,0",0.0,1.1,"21,0"
Sun,0,437,weekend,472.25,"34,8","20,2",1.2,1.7,"20,2"
